meal_id,meal_name,cuisine,meal_type,diet_type,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,serving_size_g,cooking_method,prep_time_min,cook_time_min,rating,is_healthy,image_url
1,Kid Pasta,Indian,Lunch,Keto,737,52.4,43.9,34.3,16.8,42.9,2079,91,206,Grilled,47,56,4.4,0,https://example.com/images/meal_1.jpg
2,Husband Rice,Mexican,Lunch,Paleo,182,74.7,144.4,0.1,22.3,38.6,423,7,317,Roasted,51,34,2.4,0,https://example.com/images/meal_2.jpg
3,Activity Rice,Indian,Snack,Paleo,881,52.9,97.3,18.8,20.0,37.5,2383,209,395,Boiled,58,29,4.3,0,https://example.com/images/meal_3.jpg
4,Another Salad,Mexican,Snack,Keto,427,17.5,73.1,7.6,9.8,41.7,846,107,499,Grilled,14,81,4.6,0,https://example.com/images/meal_4.jpg
5,Quite Stew,Thai,Lunch,Vegan,210,51.6,104.3,26.3,24.8,18.2,1460,42,486,Raw,47,105,4.3,0,https://example.com/images/meal_5.jpg
6,Arm Stew,Italian,Dinner,Balanced,484,55.3,130.3,0.1,29.7,1.6,411,162,209,Steamed,56,112,1.6,1,https://example.com/images/meal_6.jpg
7,Item Rice,Thai,Snack,Keto,114,60.9,6.7,6.7,23.4,8.3,1107,60,291,Roasted,41,90,2.8,1,https://example.com/images/meal_7.jpg
8,Thing Rice,Mexican,Breakfast,Vegan,473,57.5,119.0,19.6,2.0,39.8,257,63,143,Grilled,18,21,1.6,0,https://example.com/images/meal_8.jpg
9,Third Soup,American,Breakfast,Paleo,863,16.8,43.0,39.4,24.5,33.0,515,50,471,Grilled,33,56,4.0,0,https://example.com/images/meal_9.jpg
10,Ask Pasta,Mexican,Dinner,Balanced,671,48.4,76.4,38.2,14.7,29.4,1110,214,117,Roasted,35,68,5.0,0,https://example.com/images/meal_10.jpg
11,Add Wrap,Chinese,Snack,Balanced,746,23.9,55.7,1.8,20.0,32.9,875,270,384,Boiled,57,43,3.1,0,https://example.com/images/meal_11.jpg
12,Ago Soup,Thai,Breakfast,Keto,594,32.6,32.0,46.9,10.9,11.7,825,76,112,Steamed,8,76,4.2,0,https://example.com/images/meal_12.jpg
13,Because Salad,Mexican,Breakfast,Keto,545,9.0,137.2,45.3,19.5,34.1,765,175,267,Steamed,11,117,1.8,0,https://example.com/images/meal_13.jpg
14,Indicate Curry,Italian,Lunch,Paleo,708,5.3,133.7,2.9,23.7,26.1,588,216,144,Grilled,45,9,2.3,0,https://example.com/images/meal_14.jpg
15,Tax Pasta,Mediterranean,Dinner,Vegan,222,12.6,83.2,51.8,13.8,19.9,1623,276,441,Roasted,49,86,3.9,0,https://example.com/images/meal_15.jpg
16,Only Curry,Japanese,Dinner,Balanced,403,45.0,3.1,36.1,25.5,16.1,975,201,426,Baked,57,46,2.3,0,https://example.com/images/meal_16.jpg
17,System Pasta,Japanese,Dinner,Balanced,321,23.6,109.7,9.5,28.7,37.3,2457,136,233,Steamed,33,120,4.2,0,https://example.com/images/meal_17.jpg
18,Similar Salad,Japanese,Lunch,Vegetarian,605,74.5,38.0,44.3,13.3,47.4,321,292,469,Raw,16,80,1.8,0,https://example.com/images/meal_18.jpg
19,Down Stew,American,Lunch,Keto,150,55.3,27.6,37.1,0.3,26.8,2478,123,312,Grilled,47,51,3.8,0,https://example.com/images/meal_19.jpg
20,Decision Soup,Thai,Snack,Paleo,402,36.9,85.6,11.1,8.1,44.5,142,145,380,Roasted,12,63,4.8,0,https://example.com/images/meal_20.jpg
21,Detail Curry,Italian,Breakfast,Vegan,1137,78.1,72.3,14.3,4.5,48.7,148,281,365,Raw,18,66,1.7,0,https://example.com/images/meal_21.jpg
22,Despite Rice,Italian,Snack,Keto,578,33.5,135.3,7.4,10.6,18.7,1156,110,484,Fried,53,12,3.7,1,https://example.com/images/meal_22.jpg
23,Season Curry,Mexican,Dinner,Paleo,1067,5.2,47.0,13.0,3.8,20.6,921,6,326,Grilled,46,62,1.4,0,https://example.com/images/meal_23.jpg
24,Establish Wrap,Mexican,Dinner,Vegan,1197,43.7,79.0,26.9,10.4,21.6,1058,34,233,Boiled,59,17,3.0,0,https://example.com/images/meal_24.jpg
25,Per Pasta,Italian,Dinner,Vegan,1153,75.0,8.7,43.9,25.9,46.8,1043,86,485,Boiled,34,58,2.9,0,https://example.com/images/meal_25.jpg
26,Public Stew,Thai,Breakfast,Paleo,1087,45.8,137.5,55.8,25.6,31.7,1137,41,211,Boiled,55,50,4.8,0,https://example.com/images/meal_26.jpg
27,Energy Rice,American,Snack,Keto,884,8.5,34.8,16.8,0.1,45.7,2348,128,140,Grilled,19,94,2.3,0,https://example.com/images/meal_27.jpg
28,Listen Salad,Indian,Snack,Keto,1091,23.2,129.0,13.7,29.0,34.4,464,148,243,Raw,51,40,3.9,0,https://example.com/images/meal_28.jpg
29,Law Rice,Chinese,Lunch,Balanced,1189,43.3,27.2,47.3,7.1,30.4,1946,300,338,Steamed,36,102,2.3,0,https://example.com/images/meal_29.jpg
30,Benefit Sandwich,Thai,Breakfast,Low-Carb,311,51.8,69.1,41.3,6.4,49.3,2374,115,171,Fried,46,36,3.6,0,https://example.com/images/meal_30.jpg
31,Main Soup,Mexican,Snack,Keto,872,46.9,131.6,23.3,6.1,48.4,1588,238,395,Grilled,44,47,3.8,0,https://example.com/images/meal_31.jpg
32,Ready Rice,Thai,Dinner,Vegan,333,78.2,130.0,16.6,0.3,19.0,2416,167,220,Roasted,9,94,1.6,1,https://example.com/images/meal_32.jpg
33,Story Curry,Mediterranean,Lunch,Low-Carb,1178,65.7,118.8,39.0,18.6,26.6,1210,160,456,Roasted,14,63,1.5,0,https://example.com/images/meal_33.jpg
34,Important Salad,American,Snack,Vegetarian,149,76.5,106.0,38.6,16.0,42.9,2207,30,175,Boiled,10,105,4.1,0,https://example.com/images/meal_34.jpg
35,Plant Curry,Thai,Dinner,Vegan,645,14.7,141.1,9.0,9.6,49.9,767,82,359,Steamed,31,33,2.5,0,https://example.com/images/meal_35.jpg
36,Which Soup,Indian,Snack,Paleo,249,79.5,91.2,11.3,29.4,3.5,2354,120,376,Boiled,47,29,2.5,1,https://example.com/images/meal_36.jpg
37,Science Salad,American,Snack,Vegetarian,372,37.7,58.0,53.4,26.8,9.6,1461,113,336,Fried,57,21,1.7,0,https://example.com/images/meal_37.jpg
38,Give Sandwich,Mediterranean,Dinner,Paleo,821,45.7,39.9,31.7,14.0,1.2,2455,225,489,Grilled,46,93,1.9,0,https://example.com/images/meal_38.jpg
39,Black Curry,Indian,Snack,Low-Carb,1180,60.5,63.3,33.0,7.2,49.8,2347,124,427,Steamed,58,89,2.3,0,https://example.com/images/meal_39.jpg
40,Yeah Pasta,Indian,Dinner,Low-Carb,1003,26.4,89.2,31.1,2.0,15.1,149,264,348,Raw,14,33,2.0,0,https://example.com/images/meal_40.jpg
41,Fund Sandwich,Italian,Dinner,Balanced,806,72.1,13.3,2.5,5.3,40.8,1997,268,195,Baked,22,74,3.7,0,https://example.com/images/meal_41.jpg
42,Kind Wrap,Indian,Dinner,Balanced,466,23.3,58.3,0.8,7.3,34.7,1337,266,136,Grilled,32,115,1.4,0,https://example.com/images/meal_42.jpg
43,Maintain Wrap,Mediterranean,Snack,Paleo,686,38.5,71.2,40.6,20.3,25.8,2341,295,124,Grilled,23,104,1.2,0,https://example.com/images/meal_43.jpg
44,Administration Curry,Mediterranean,Snack,Balanced,794,51.0,36.9,20.7,29.8,36.9,1839,268,489,Raw,40,110,2.0,0,https://example.com/images/meal_44.jpg
45,Produce Stew,Thai,Snack,Paleo,563,60.3,79.6,56.8,11.0,3.4,384,109,369,Baked,34,119,4.6,0,https://example.com/images/meal_45.jpg
46,Away Curry,American,Lunch,Balanced,577,26.4,86.7,52.9,10.2,6.2,2033,130,431,Steamed,58,62,1.9,0,https://example.com/images/meal_46.jpg
47,Change Wrap,Chinese,Lunch,Low-Carb,583,15.6,58.4,44.8,3.0,3.9,661,152,289,Fried,24,37,4.3,0,https://example.com/images/meal_47.jpg
48,Likely Soup,Mediterranean,Snack,Vegetarian,1135,38.5,47.1,2.3,15.6,1.9,2162,125,377,Roasted,51,40,4.1,0,https://example.com/images/meal_48.jpg
49,After Sandwich,Italian,Breakfast,Paleo,591,64.4,93.9,23.8,11.8,28.4,1042,160,424,Fried,50,118,3.5,0,https://example.com/images/meal_49.jpg
50,Should Stew,Japanese,Dinner,Vegan,867,44.1,92.2,37.2,28.0,13.3,2462,15,287,Grilled,34,24,3.9,0,https://example.com/images/meal_50.jpg
51,Impact Stew,Indian,Breakfast,Paleo,118,58.6,106.5,3.3,19.4,48.0,603,11,421,Steamed,16,23,1.6,0,https://example.com/images/meal_51.jpg
52,Company Wrap,Indian,Dinner,Paleo,153,76.0,79.0,23.3,24.0,8.5,1581,80,149,Raw,10,87,4.3,1,https://example.com/images/meal_52.jpg
53,Many Salad,American,Breakfast,Low-Carb,312,58.0,24.8,32.7,20.8,37.7,1397,242,120,Boiled,13,80,4.7,0,https://example.com/images/meal_53.jpg
54,Interview Sandwich,Mexican,Breakfast,Balanced,609,9.3,12.7,59.2,6.4,6.3,1403,178,388,Grilled,54,68,1.7,0,https://example.com/images/meal_54.jpg
55,Economic Curry,Mexican,Snack,Vegetarian,275,46.1,23.0,4.1,23.0,4.9,1179,249,366,Baked,12,44,1.1,1,https://example.com/images/meal_55.jpg
56,Task Salad,Japanese,Breakfast,Keto,953,22.2,117.4,48.6,8.4,38.0,947,28,210,Grilled,50,36,3.4,0,https://example.com/images/meal_56.jpg
57,Let Rice,American,Lunch,Paleo,795,5.7,107.1,59.7,10.1,13.3,871,269,500,Fried,57,77,3.7,0,https://example.com/images/meal_57.jpg
58,Section Salad,Japanese,Lunch,Vegan,836,12.8,108.8,7.8,5.8,20.4,565,163,297,Baked,41,40,3.5,0,https://example.com/images/meal_58.jpg
59,Hard Wrap,Chinese,Breakfast,Low-Carb,1119,8.4,78.1,24.7,9.2,43.4,2489,109,145,Steamed,12,83,3.5,0,https://example.com/images/meal_59.jpg
60,On Curry,Thai,Breakfast,Vegan,617,41.2,113.4,21.6,1.7,42.4,1385,86,468,Roasted,47,18,4.3,0,https://example.com/images/meal_60.jpg
61,Expert Rice,Mexican,Breakfast,Vegetarian,798,75.0,100.2,8.9,17.6,9.6,1400,40,474,Fried,47,108,2.2,0,https://example.com/images/meal_61.jpg
62,Heavy Stew,Italian,Dinner,Paleo,417,35.6,123.3,3.3,29.4,49.7,2341,232,469,Roasted,28,55,2.1,0,https://example.com/images/meal_62.jpg
63,Why Curry,Indian,Lunch,Keto,213,69.9,115.1,18.5,23.2,7.4,1538,102,110,Fried,14,21,3.6,1,https://example.com/images/meal_63.jpg
64,Wall Sandwich,Mediterranean,Breakfast,Vegetarian,255,29.3,46.8,19.5,25.7,6.5,1794,116,321,Boiled,43,35,4.2,1,https://example.com/images/meal_64.jpg
65,Thought Rice,American,Dinner,Vegetarian,477,51.5,0.0,11.1,13.4,41.5,533,198,297,Boiled,55,42,4.1,0,https://example.com/images/meal_65.jpg
66,Include Curry,Chinese,Lunch,Low-Carb,602,58.4,128.7,11.0,10.6,26.7,1186,271,269,Baked,9,112,2.7,0,https://example.com/images/meal_66.jpg
67,Institution Curry,Italian,Dinner,Balanced,259,62.2,29.1,16.7,1.9,46.9,1245,90,189,Baked,50,84,2.2,0,https://example.com/images/meal_67.jpg
68,Relationship Stew,Mexican,Breakfast,Low-Carb,1199,21.5,17.6,52.3,20.2,25.2,226,175,114,Boiled,28,83,1.2,0,https://example.com/images/meal_68.jpg
69,Animal Pasta,Italian,Breakfast,Paleo,292,42.9,124.6,56.7,2.4,17.3,828,156,312,Steamed,23,12,2.7,0,https://example.com/images/meal_69.jpg
70,Company Soup,American,Breakfast,Balanced,1195,28.0,112.6,39.2,20.4,44.4,1429,177,347,Boiled,14,97,4.1,0,https://example.com/images/meal_70.jpg
71,Address Soup,Mediterranean,Breakfast,Keto,310,60.5,103.8,44.7,8.5,20.4,169,62,335,Baked,41,76,2.0,0,https://example.com/images/meal_71.jpg
72,With Wrap,Mediterranean,Dinner,Vegetarian,817,35.4,129.2,39.3,15.0,1.4,1441,92,230,Baked,47,113,4.1,0,https://example.com/images/meal_72.jpg
73,Garden Soup,American,Lunch,Vegetarian,235,64.9,18.0,48.1,24.4,46.2,2499,24,265,Grilled,21,57,2.8,0,https://example.com/images/meal_73.jpg
74,Well Wrap,Thai,Lunch,Balanced,350,53.1,32.9,19.1,15.3,50.0,1035,204,244,Roasted,17,72,2.2,0,https://example.com/images/meal_74.jpg
75,Television Pasta,Mediterranean,Breakfast,Vegetarian,865,29.3,39.0,59.0,10.2,7.6,297,29,283,Raw,55,103,2.8,0,https://example.com/images/meal_75.jpg
76,Face Sandwich,Mexican,Snack,Vegetarian,149,61.8,142.3,6.4,24.6,13.4,110,43,334,Raw,58,104,4.0,1,https://example.com/images/meal_76.jpg
77,Move Pasta,American,Snack,Balanced,714,68.7,116.1,46.5,18.3,22.0,2387,31,233,Baked,52,31,4.7,0,https://example.com/images/meal_77.jpg
78,While Soup,Chinese,Breakfast,Paleo,424,15.9,123.5,26.0,11.1,37.3,597,60,449,Boiled,21,39,4.1,0,https://example.com/images/meal_78.jpg
79,Black Wrap,Chinese,Breakfast,Keto,692,50.9,144.3,12.8,22.2,34.8,1058,245,345,Raw,32,80,2.6,0,https://example.com/images/meal_79.jpg
80,Yes Rice,Chinese,Breakfast,Keto,856,52.6,147.4,26.5,20.4,14.5,138,193,470,Baked,54,120,3.9,0,https://example.com/images/meal_80.jpg
81,Will Soup,Indian,Lunch,Vegan,684,64.1,145.5,20.2,23.4,31.3,1712,99,264,Roasted,10,78,3.6,0,https://example.com/images/meal_81.jpg
82,Whom Curry,Mediterranean,Dinner,Vegan,197,6.8,40.1,55.9,27.9,35.0,2109,207,432,Fried,9,21,1.2,0,https://example.com/images/meal_82.jpg
83,Together Stew,Mexican,Breakfast,Low-Carb,1086,62.3,87.5,57.6,10.6,18.7,1729,10,433,Baked,35,76,4.9,0,https://example.com/images/meal_83.jpg
84,Inside Pasta,Chinese,Snack,Paleo,312,68.1,95.0,4.0,19.0,8.0,2158,24,359,Roasted,8,61,1.7,1,https://example.com/images/meal_84.jpg
85,Small Soup,Chinese,Dinner,Balanced,402,34.7,63.2,36.0,12.7,48.7,780,141,312,Roasted,7,24,3.8,0,https://example.com/images/meal_85.jpg
86,Check Curry,Italian,Dinner,Vegetarian,572,24.3,63.4,26.7,7.7,19.0,1400,129,427,Raw,31,109,4.3,0,https://example.com/images/meal_86.jpg
87,Learn Sandwich,Italian,Dinner,Balanced,783,74.1,141.3,3.4,8.2,43.3,2084,257,466,Boiled,50,37,4.0,0,https://example.com/images/meal_87.jpg
88,Enough Soup,Thai,Lunch,Vegetarian,433,65.9,104.9,23.4,27.4,10.8,1025,242,348,Fried,22,113,3.9,1,https://example.com/images/meal_88.jpg
89,Production Pasta,Thai,Breakfast,Vegan,183,13.0,102.3,53.0,26.1,10.7,820,16,364,Raw,44,70,4.4,0,https://example.com/images/meal_89.jpg
90,Include Stew,Indian,Snack,Vegetarian,379,47.1,144.7,28.4,1.2,6.2,2255,17,171,Baked,24,12,2.9,0,https://example.com/images/meal_90.jpg
91,Summer Stew,Japanese,Lunch,Vegetarian,487,6.4,72.0,16.3,22.7,6.8,621,269,343,Steamed,56,75,1.6,1,https://example.com/images/meal_91.jpg
92,Attorney Salad,Chinese,Dinner,Vegan,350,11.8,29.0,15.2,15.8,6.0,948,130,225,Baked,31,69,3.8,1,https://example.com/images/meal_92.jpg
93,Reality Wrap,Thai,Lunch,Paleo,510,11.7,85.3,34.4,20.6,10.8,540,254,297,Baked,23,9,1.5,0,https://example.com/images/meal_93.jpg
94,Section Stew,Thai,Lunch,Vegetarian,504,34.9,60.6,41.9,1.2,18.2,2206,148,166,Baked,51,61,2.5,0,https://example.com/images/meal_94.jpg
95,Foot Wrap,Mediterranean,Lunch,Keto,1094,74.7,43.1,24.1,26.7,13.5,417,271,234,Baked,34,80,3.1,0,https://example.com/images/meal_95.jpg
96,Democrat Stew,Chinese,Breakfast,Keto,348,50.6,17.8,45.1,18.0,10.7,1502,9,257,Grilled,42,68,3.7,0,https://example.com/images/meal_96.jpg
97,Appear Stew,Mediterranean,Breakfast,Vegan,172,43.0,110.6,0.5,24.1,13.2,354,185,138,Boiled,57,61,2.0,1,https://example.com/images/meal_97.jpg
98,Particular Pasta,Chinese,Snack,Balanced,312,14.8,55.1,47.9,5.0,29.7,122,17,272,Roasted,32,92,5.0,0,https://example.com/images/meal_98.jpg
99,Animal Curry,Mexican,Breakfast,Keto,1148,61.4,89.9,4.6,14.0,25.5,2452,58,112,Boiled,23,110,3.6,0,https://example.com/images/meal_99.jpg
100,Western Wrap,Italian,Lunch,Balanced,1157,69.9,48.0,8.4,17.2,3.8,445,122,439,Baked,33,120,3.5,0,https://example.com/images/meal_100.jpg
101,Week Stew,Italian,Dinner,Keto,1145,15.4,55.2,51.3,27.6,19.2,1104,238,102,Boiled,17,120,4.1,0,https://example.com/images/meal_101.jpg
102,Four Salad,American,Dinner,Low-Carb,466,70.9,97.5,25.8,1.9,41.2,2095,137,224,Steamed,15,73,3.4,0,https://example.com/images/meal_102.jpg
103,Discussion Rice,Mexican,Breakfast,Balanced,478,23.4,83.6,2.7,2.2,10.1,322,4,434,Steamed,51,27,2.9,1,https://example.com/images/meal_103.jpg
104,Fast Rice,Mediterranean,Breakfast,Vegan,272,63.4,121.8,23.3,17.3,28.7,146,242,139,Roasted,12,20,4.8,0,https://example.com/images/meal_104.jpg
105,Everyone Wrap,Mediterranean,Dinner,Keto,123,9.3,99.3,20.8,28.5,26.0,1604,40,107,Roasted,24,72,2.2,0,https://example.com/images/meal_105.jpg
106,Check Stew,Italian,Breakfast,Vegetarian,197,10.1,66.1,23.2,5.6,28.6,242,252,176,Steamed,59,81,2.6,0,https://example.com/images/meal_106.jpg
107,Page Sandwich,Indian,Snack,Paleo,974,57.6,16.0,7.0,2.5,12.6,1554,191,395,Fried,30,89,3.8,0,https://example.com/images/meal_107.jpg
108,Up Sandwich,Mediterranean,Lunch,Vegetarian,604,35.2,145.7,56.2,19.3,16.4,1073,36,457,Fried,5,94,2.4,0,https://example.com/images/meal_108.jpg
109,Edge Stew,Indian,Dinner,Balanced,296,49.5,67.6,28.9,0.5,13.1,1874,35,433,Raw,43,24,2.0,0,https://example.com/images/meal_109.jpg
110,Stuff Stew,Italian,Breakfast,Vegan,306,43.9,42.7,10.1,1.9,34.5,1867,12,327,Raw,16,18,4.5,0,https://example.com/images/meal_110.jpg
111,Use Wrap,Japanese,Lunch,Vegetarian,897,52.1,17.5,32.8,13.3,22.2,690,20,161,Steamed,15,25,2.4,0,https://example.com/images/meal_111.jpg
112,Final Sandwich,Mexican,Dinner,Vegetarian,635,29.4,98.4,30.0,26.4,11.2,2189,177,279,Roasted,10,84,4.3,0,https://example.com/images/meal_112.jpg
113,Against Pasta,Italian,Dinner,Keto,162,65.9,56.0,29.0,5.2,35.4,1412,147,410,Baked,54,64,4.7,0,https://example.com/images/meal_113.jpg
114,Condition Soup,Indian,Breakfast,Low-Carb,248,65.2,32.6,37.5,10.0,16.4,1945,221,402,Fried,52,45,3.9,0,https://example.com/images/meal_114.jpg
115,Try Curry,American,Lunch,Vegetarian,854,68.0,111.9,43.4,21.7,6.6,1200,245,422,Roasted,28,120,4.5,0,https://example.com/images/meal_115.jpg
116,Bill Stew,Indian,Lunch,Low-Carb,817,55.1,92.3,21.3,3.9,39.7,2286,159,430,Fried,34,10,3.0,0,https://example.com/images/meal_116.jpg
117,Pull Stew,American,Lunch,Low-Carb,124,17.3,69.2,16.5,24.4,24.2,1400,152,252,Baked,10,38,4.2,0,https://example.com/images/meal_117.jpg
118,Describe Soup,Indian,Snack,Low-Carb,769,40.1,26.2,0.9,12.0,3.0,1972,282,289,Baked,19,85,4.9,0,https://example.com/images/meal_118.jpg
119,Talk Salad,Japanese,Snack,Vegetarian,431,26.1,8.6,4.1,1.1,12.8,1630,283,152,Baked,59,108,2.4,1,https://example.com/images/meal_119.jpg
120,Art Soup,Chinese,Snack,Paleo,135,9.5,21.2,41.3,7.0,43.0,331,222,435,Roasted,51,35,4.7,0,https://example.com/images/meal_120.jpg
121,Billion Salad,Thai,Breakfast,Vegetarian,410,28.1,20.9,28.9,16.9,7.9,1434,123,389,Grilled,6,93,2.1,0,https://example.com/images/meal_121.jpg
122,Any Rice,Japanese,Breakfast,Paleo,446,60.5,12.1,1.1,27.2,19.8,1482,228,199,Boiled,32,33,1.0,1,https://example.com/images/meal_122.jpg
123,Raise Stew,Indian,Lunch,Vegan,471,62.3,56.5,19.9,0.9,7.1,1910,50,289,Grilled,10,28,1.3,1,https://example.com/images/meal_123.jpg
124,Success Wrap,Indian,Lunch,Vegan,602,76.0,92.8,59.0,14.4,32.3,2271,206,240,Roasted,25,39,4.9,0,https://example.com/images/meal_124.jpg
